book,horizon_days,source_file,return_column,borrow_bps_annual,short_notional_assumption,period_borrow_haircut,n_periods,ann_return_arithmetic,ann_return_geometric,ann_vol,sharpe,max_drawdown
momentum_5d,5,report/artifacts/momentum_portfolio_uncertainty/momentum_5d_returns.csv,net_return,0.0,0.5,0.0,220,0.05924762369817915,0.05628326216161539,0.0945274684503264,0.6267767948246008,-0.1459598180621059
momentum_5d,5,report/artifacts/momentum_portfolio_uncertainty/momentum_5d_returns.csv,net_return,25.0,0.5,2.48015873015873e-05,220,0.05799762369817917,0.05496503154524812,0.0945274684503264,0.6135531253400335,-0.14695821009369003
momentum_5d,5,report/artifacts/momentum_portfolio_uncertainty/momentum_5d_returns.csv,net_return,50.0,0.5,4.96031746031746e-05,220,0.056747623698179164,0.05364841345957827,0.0945274684503264,0.6003294558554659,-0.1479554597912336
momentum_5d,5,report/artifacts/momentum_portfolio_uncertainty/momentum_5d_returns.csv,net_return,100.0,0.5,9.92063492063492e-05,220,0.05424762369817918,0.051020007152012825,0.0945274684503264,0.5738821168863311,-0.15026100485962524
momentum_20d,20,report/artifacts/momentum_portfolio_uncertainty/momentum_20d_returns.csv,net_return,0.0,0.5,0.0,53,0.078316141794656,0.07643177044304017,0.09529244559988223,0.8218504762013664,-0.10754432316167017
momentum_20d,20,report/artifacts/momentum_portfolio_uncertainty/momentum_20d_returns.csv,net_return,25.0,0.5,9.92063492063492e-05,53,0.077066141794656,0.07509436620505827,0.09529244559988223,0.808732962088563,-0.10826273967979794
momentum_20d,20,report/artifacts/momentum_portfolio_uncertainty/momentum_20d_returns.csv,net_return,50.0,0.5,0.0001984126984126984,53,0.07581614179465601,0.07375849179502736,0.09529244559988223,0.7956154479757598,-0.1089806501656162
momentum_20d,20,report/artifacts/momentum_portfolio_uncertainty/momentum_20d_returns.csv,net_return,100.0,0.5,0.0003968253968253968,53,0.073316141794656,0.07109132606376933,0.09529244559988222,0.769380419750153,-0.11041495426224457
momentum_30d,30,report/artifacts/momentum_portfolio_uncertainty/momentum_30d_returns.csv,net_return,0.0,0.5,0.0,35,0.0777962714598271,0.07481794760842031,0.10509131809932236,0.7402730583919541,-0.13825203588214785
momentum_30d,30,report/artifacts/momentum_portfolio_uncertainty/momentum_30d_returns.csv,net_return,25.0,0.5,0.0001488095238095238,35,0.0765462714598271,0.07348580062607568,0.10509131809932236,0.7283786410165949,-0.1395535618839122
momentum_30d,30,report/artifacts/momentum_portfolio_uncertainty/momentum_30d_returns.csv,net_return,50.0,0.5,0.0002976190476190476,35,0.07529627145982709,0.07215510813538684,0.10509131809932236,0.7164842236412354,-0.14085331870705387
momentum_30d,30,report/artifacts/momentum_portfolio_uncertainty/momentum_30d_returns.csv,net_return,100.0,0.5,0.0005952380952380952,35,0.0727962714598271,0.06949808113632794,0.10509131809932236,0.6926953888905168,-0.14344753336591531
route_b_overlay_30d,30,report/artifacts/route_b_paired_increment/paired_returns.csv,overlay_net_return,0.0,0.5,0.0,35,0.08274841064855638,0.08221146435819993,0.08387884810715265,0.9865229735015892,-0.07324214471732982
route_b_overlay_30d,30,report/artifacts/route_b_paired_increment/paired_returns.csv,overlay_net_return,25.0,0.5,0.0001488095238095238,35,0.08149841064855638,0.08087156462741141,0.08387884810715265,0.9716205275547499,-0.07352865985776791
route_b_overlay_30d,30,report/artifacts/route_b_paired_increment/paired_returns.csv,overlay_net_return,50.0,0.5,0.0002976190476190476,35,0.0802484106485564,0.07953312640955712,0.08387884810715265,0.9567180816079106,-0.0738151307096574
route_b_overlay_30d,30,report/artifacts/route_b_paired_increment/paired_returns.csv,overlay_net_return,100.0,0.5,0.0005952380952380952,35,0.0777484106485564,0.07686062899857893,0.08387884810715265,0.9269131897142318,-0.07438793954778977
