signal,1,5,20,40,60,90
ret_1d,-0.5967100801108933,-0.6039955929797467,-0.16751736736246273,-0.2628227366560432,-0.03572508106286676,-0.14094862778522152
ret_5d,-1.0295150644439377,-0.7121593720024735,-0.39112045729360995,-0.06836014012608375,-0.1694108693258062,0.2717469780289841
mom_20d_skip_5d,-0.5576862840984143,-0.7220226999989727,-0.27876043758625974,0.0681284852792032,-0.06613831942636984,-0.3946363445691289
mom_60d_skip_20d,0.3037827424298282,0.058594083133526105,-0.12116009853376139,-0.3026769134649301,-0.24488354354887568,0.1427704946481739
mom_252d_skip_21d,0.5951704909187102,0.12157457564828004,-0.05814282953651423,-0.1975249620273841,-0.09716699691689919,-0.21001716139004606
vol_20d,-0.6947886905559335,-0.04069681222328427,0.1613721755990647,0.30518483504047345,0.24197728935326968,0.17539661234178466
idio_vol_60d,-0.7869594488508025,-0.02499290852968801,0.17118034656487066,0.29553422987106875,0.2971572829509267,0.28303209829278353
beta_60d,-0.4298146890719035,0.025146197196513356,0.11441322150404352,0.2896995447360248,0.19970368569076516,0.09380075332562639
amihud_20d,1.128754176658089,1.1122154892641638,1.2688497164195904,1.4672719194434147,1.376978586093067,1.3384565104216894
volume_z_20d,0.43484523626012656,0.2491585205333409,0.4011813099957108,0.29455340748488307,0.5137338865332258,0.37567423610736783
rsi_14d,-0.6406949154970749,-0.7450345014285178,-0.4524558255089601,-0.10115017599072193,-0.07054163182112902,-0.07281369208503588
sma_gap_20d,-0.9976903149938057,-0.8648197598287468,-0.5724573129369479,-0.1310839088565723,-0.14422175285069863,-0.0002926683731468617
