signal,native_horizon,disc_icir,disc_mean_ic,disc_t,test_icir,test_mean_ic,test_t,sign_stable
ret_1d,5,-0.604,-0.0092,-2.26,0.196,-0.0062,0.41,False
ret_5d,1,-1.03,-0.0079,-3.85,-0.446,-0.0042,-0.94,True
mom_20d_skip_5d,5,-0.722,-0.0094,-2.7,0.286,0.0041,0.6,False
mom_60d_skip_20d,1,0.304,0.0025,1.14,0.664,0.007,1.4,True
mom_252d_skip_21d,1,0.595,0.0066,2.23,1.685,0.0206,3.54,True
vol_20d,1,-0.695,-0.0072,-2.6,-0.04,-0.0005,-0.08,True
idio_vol_60d,1,-0.787,-0.007,-2.94,-0.072,-0.0007,-0.15,True
beta_60d,1,-0.43,-0.0049,-1.61,0.056,0.0008,0.12,False
amihud_20d,40,1.467,0.0519,5.51,0.196,0.0117,0.41,True
volume_z_20d,60,0.514,0.0056,1.93,-0.933,0.0019,-1.93,False
rsi_14d,5,-0.745,-0.0133,-2.79,0.317,0.0009,0.67,False
sma_gap_20d,1,-0.998,-0.008,-3.73,-0.25,-0.0025,-0.53,True
